onset	duration	sample	value	trial_type
1.342	0.456	671	boundary	boundary
6.593634107	2	3296.8171	inc	inc
7.188631886	2	3594.3159	cor	cor
7.693628141	2	3846.8141	inc	inc
8.92663292	2	4463.3165	con	con
9.926627496	2	4963.3137	con	con
10.2276317	2	5113.8158	cor	cor
11.02663159	2	5513.3158	inc	inc
11.92662671	2	5963.3134	con	con
12.51562975	2	6257.8149	cor	cor
13.19362848	2	6596.8142	inc	inc
13.45163352	2	6725.8168	cor	cor
14.44262593	2	7221.313	inc	inc
14.73962694	2	7369.8135	err	err
15.64262948	2	7821.3147	inc	inc
16.00363135	2	8001.8157	cor	cor
16.75963207	2	8379.816	con	con
17.04362772	2	8521.8139	cor	cor
17.94262707	2	8971.3135	con	con
18.29962573	2	9149.8129	cor	cor
19.14263062	2	9571.3153	con	con
19.42763209	2	9713.816	cor	cor
20.17663225	2	10088.3161	inc	inc
20.42762666	2	10213.8133	cor	cor
21.0926301	2	10546.315	inc	inc
21.44363403	2	10721.817	cor	cor
21.95963404	2	10979.817	con	con
22.24362969	2	11121.8148	cor	cor
23.12662631	2	11563.3132	con	con
23.43562684	2	11717.8134	cor	cor
24.24263313	2	12121.3166	inc	inc
24.51562501	2	12257.8125	err	err
25.2426277	2	12621.3139	inc	inc
26.39263152	2	13196.3158	inc	inc
26.69163413	2	13345.8171	err	err
27.25962541	2	13629.8127	con	con
27.50763252	2	13753.8163	cor	cor
28.37662801	2	14188.314	con	con
29.40963387	2	14704.8169	inc	inc
30.32662749	2	15163.3137	con	con
30.61962529	2	15309.8126	cor	cor
31.42663158	2	15713.3158	con	con
31.69963352	2	15849.8168	err	err
32.69262753	2	16346.3138	con	con
33.05963419	2	16529.8171	cor	cor
33.90962958	2	16954.8148	con	con
34.97663244	2	17488.3162	inc	inc
35.53162842	2	17765.8142	cor	cor
35.89263029	2	17946.3151	inc	inc
36.32362775	2	18161.8139	cor	cor
36.94262459	2	18471.3123	con	con
37.25963152	2	18629.8158	cor	cor
37.97662623	2	18988.3131	con	con
38.20363163	2	19101.8158	cor	cor
39.02663059	2	19513.3153	con	con
39.33962426	2	19669.8121	cor	cor
40.05962639	2	20029.8132	inc	inc
41.15963049	2	20579.8152	inc	inc
42.32663281	2	21163.3164	con	con
42.70763054	2	21353.8153	cor	cor
43.57662603	2	21788.313	inc	inc
44.09962661	2	22049.8133	cor	cor
44.57663066	2	22288.3153	inc	inc
44.95562679	2	22477.8134	cor	cor
45.77663421	2	22888.3171	con	con
46.11562855	2	23057.8143	cor	cor
46.64263233	2	23321.3162	con	con
46.9636324	2	23481.8162	cor	cor
47.79262609	2	23896.313	inc	inc
48.14763322	2	24073.8166	cor	cor
48.80962923	2	24404.8146	con	con
49.25962678	2	24629.8134	cor	cor
50.00963277	2	25004.8164	con	con
50.33162861	2	25165.8143	cor	cor
50.97563035	2	25487.8152	con	con
51.33962958	2	25669.8148	cor	cor
51.90963253	2	25954.8163	inc	inc
52.40362502	2	26201.8125	cor	cor
52.84262888	2	26421.3144	con	con
53.13962988	2	26569.8149	cor	cor
53.75963255	2	26879.8163	con	con
54.12363178	2	27061.8159	cor	cor
54.72563013	2	27362.8151	con	con
55.00363103	2	27501.8155	cor	cor
55.69263353	2	27846.3168	inc	inc
56.05963013	2	28029.8151	cor	cor
56.92562825	2	28462.8141	con	con
57.16362737	2	28581.8137	cor	cor
58.02563235	2	29012.8162	inc	inc
58.37963364	2	29189.8168	cor	cor
59.27562557	2	29637.8128	inc	inc
59.70762885	2	29853.8144	cor	cor
60.14262951	2	30071.3148	inc	inc
60.53163364	2	30265.8168	cor	cor
61.20963238	2	30604.8162	inc	inc
61.62762448	2	30813.8122	cor	cor
62.15962722	2	31079.8136	con	con
62.54762552	2	31273.8128	cor	cor
63.19263309	2	31596.3165	con	con
63.43563116	2	31717.8156	err	err
64.45962481	2	32229.8124	inc	inc
64.75563004	2	32377.815	err	err
65.39263121	2	32696.3156	inc	inc
65.89962907	2	32949.8145	cor	cor
66.27562783	2	33137.8139	inc	inc
66.55563033	2	33277.8152	err	err
67.37563192	2	33687.816	con	con
67.64362484	2	33821.8124	err	err
68.62562514	2	34312.8126	inc	inc
69.06762637	2	34533.8132	cor	cor
69.62562978	2	34812.8149	inc	inc
69.98762741	2	34993.8137	cor	cor
85.82563243	2	42912.8162	inc	inc
86.99262469	2	43496.3123	inc	inc
87.36362449	2	43681.8122	cor	cor
88.17562974	2	44087.8149	inc	inc
88.43562632	2	44217.8132	err	err
89.42563302	2	44712.8165	inc	inc
89.73162613	2	44865.8131	cor	cor
90.4256276	2	45212.8138	inc	inc
90.7476335	2	45373.8167	cor	cor
91.32563277	2	45662.8164	con	con
91.65863238	2	45829.3162	cor	cor
92.50862777	2	46254.3139	con	con
92.77962811	2	46389.8141	cor	cor
93.5426294	2	46771.3147	con	con
93.81162814	2	46905.8141	cor	cor
94.49262425	2	47246.3121	con	con
94.84362818	2	47421.8141	cor	cor
95.62562957	2	47812.8148	con	con
95.94662964	2	47973.3148	cor	cor
96.85862429	2	48429.3121	inc	inc
97.15462952	2	48577.3148	err	err
97.94162988	2	48970.8149	inc	inc
98.31463128	2	49157.3156	cor	cor
99.15863193	2	49579.316	inc	inc
99.44262757	2	49721.3138	err	err
100.2416275	2	50120.8137	con	con
100.5386285	2	50269.3142	cor	cor
101.2916318	2	50645.8159	con	con
101.5786248	2	50789.3124	cor	cor
102.5586336	2	51279.3168	con	con
