onset	duration	sample	value	trial_type
1.332	0.468	666	boundary	boundary
6.577107251	2	3288.5536	ng	ng
7.527102098	2	3763.551	go	go
7.839110062	2	3919.555	cor	cor
8.493109733	2	4246.5549	ng	ng
9.46010308	2	4730.0515	ng	ng
10.37710676	2	5188.5534	go	go
10.65510766	2	5327.5538	cor	cor
11.46010229	2	5730.0511	go	go
11.74310216	2	5871.5511	cor	cor
12.69310707	2	6346.5535	go	go
12.93510938	2	6467.5547	cor	cor
13.91010912	2	6955.0546	go	go
14.1281023	2	7064.0512	cor	cor
14.81010424	2	7405.0521	ng	ng
15.67710818	2	7838.5541	go	go
15.95110589	2	7975.5529	cor	cor
16.67710276	2	8338.5514	ng	ng
17.91010754	2	8955.0538	go	go
18.18310948	2	9091.5547	cor	cor
19.0431028	2	9521.5514	go	go
19.47110289	2	9735.5514	cor	cor
20.26010485	2	10130.0524	go	go
20.64710738	2	10323.5537	cor	cor
21.42610134	2	10713.0507	go	go
21.71110281	2	10855.5514	cor	cor
22.67610462	2	11338.0523	go	go
22.9191027	2	11459.5513	cor	cor
23.9261079	2	11963.0539	go	go
24.2231089	2	12111.5545	cor	cor
24.9761022	2	12488.0511	go	go
25.23910621	2	12619.5531	cor	cor
26.01010384	2	13005.0519	go	go
26.23110445	2	13115.5522	cor	cor
27.01010847	2	13505.0542	go	go
27.24710175	2	13623.5509	cor	cor
28.14310373	2	14071.5519	go	go
28.38210867	2	14191.0543	cor	cor
29.39310701	2	14696.5535	go	go
29.65410942	2	14827.0547	cor	cor
30.59311056	2	15296.5553	go	go
30.84710234	2	15423.5512	cor	cor
31.57610664	2	15788.0533	go	go
31.88610295	2	15943.0515	cor	cor
32.54311004	2	16271.555	go	go
32.85410212	2	16427.0511	cor	cor
33.66010258	2	16830.0513	go	go
33.90210488	2	16951.0524	cor	cor
34.76010667	2	17380.0533	go	go
35.67610452	2	17838.0523	go	go
35.95810862	2	17979.0543	cor	cor
36.89310657	2	18446.5533	go	go
37.13410305	2	18567.0515	cor	cor
37.81011024	2	18905.0551	go	go
38.16610308	2	19083.0515	cor	cor
38.82610755	2	19413.0538	go	go
39.10210685	2	19551.0534	cor	cor
39.72610267	2	19863.0513	go	go
39.99010244	2	19995.0512	cor	cor
40.71010457	2	20355.0523	go	go
40.94210894	2	20471.0545	cor	cor
41.79311016	2	20896.5551	go	go
42.72610651	2	21363.0533	ng	ng
43.65910286	2	21829.5514	ng	ng
43.90210094	2	21951.0505	err	err
44.67610599	2	22338.053	go	go
44.92610464	2	22463.0523	cor	cor
45.74310885	2	22871.5544	ng	ng
46.87610412	2	23438.0521	ng	ng
47.99310671	2	23996.5534	go	go
48.31810997	2	24159.055	cor	cor
49.20910293	2	24604.5515	go	go
49.462109	2	24731.0545	cor	cor
50.35910675	2	25179.5534	go	go
50.59810163	2	25299.0508	cor	cor
51.25910187	2	25629.5509	go	go
51.58210354	2	25791.0518	cor	cor
52.50910515	2	26254.5526	go	go
52.87010701	2	26435.0535	cor	cor
53.7261072	2	26863.0536	go	go
54.04610144	2	27023.0507	cor	cor
54.87610096	2	27438.0505	go	go
55.14210233	2	27571.0512	cor	cor
55.79210886	2	27896.0544	ng	ng
56.70910248	2	28354.5512	go	go
57.11010614	2	28555.0531	cor	cor
57.95910576	2	28979.5529	go	go
58.24610883	2	29123.0544	cor	cor
58.90911067	2	29454.5553	go	go
59.20610161	2	29603.0508	cor	cor
60.09210566	2	30046.0528	ng	ng
60.51010782	2	30255.0539	err	err
61.30910771	2	30654.5539	go	go
61.59810232	2	30799.0512	cor	cor
62.24210405	2	31121.052	go	go
62.57410789	2	31287.0539	cor	cor
63.17610623	2	31588.0531	go	go
63.49410893	2	31747.0545	cor	cor
64.29210299	2	32146.0515	ng	ng
65.2591064	2	32629.5532	go	go
65.67810433	2	32839.0522	cor	cor
66.39210166	2	33196.0508	go	go
66.71010436	2	33355.0522	cor	cor
67.42610329	2	33713.0516	go	go
67.7421044	2	33871.0522	cor	cor
68.45910916	2	34229.5546	go	go
68.81410623	2	34407.0531	cor	cor
69.39210551	2	34696.0528	go	go
69.80610447	2	34903.0522	cor	cor
84.40910311	2	42204.5516	go	go
84.93410529	2	42467.0526	cor	cor
85.64210789	2	42821.0539	go	go
85.9501026	2	42975.0513	cor	cor
86.77510315	2	43387.5516	go	go
87.19810428	2	43599.0521	cor	cor
87.92510697	2	43962.5535	go	go
88.19010252	2	44095.0513	cor	cor
88.84211065	2	44421.0553	go	go
89.09410083	2	44547.0504	cor	cor
89.775107	2	44887.5535	go	go
90.03010461	2	45015.0523	cor	cor
90.7591089	2	45379.5545	go	go
91.79210471	2	45896.0524	go	go
93.05910648	2	46529.5532	go	go
93.31710146	2	46658.5507	cor	cor
94.05910106	2	47029.5505	go	go
94.34210093	2	47171.0505	cor	cor
95.17510788	2	47587.5539	go	go
95.39710426	2	47698.5521	cor	cor
96.10911006	2	48054.555	go	go
96.37310983	2	48186.5549	cor	cor
97.00910518	2	48504.5526	ng	ng
98.1421105	2	49071.0552	go	go
98.42910351	2	49214.5518	cor	cor
99.22510603	2	49612.553	go	go
99.74910238	2	49874.5512	cor	cor
100.09211	2	50046.055	go	go
100.8531097	2	50426.5548	cor	cor
101.275105	2	50637.5525	go	go
101.6291063	2	50814.5531	cor	cor
102.3421078	2	51171.0539	go	go
102.7411099	2	51370.5549	cor	cor
103.4921016	2	51746.0508	go	go
104.1411023	2	52070.5511	cor	cor
104.7251064	2	52362.5532	ng	ng
105.7091083	2	52854.5541	ng	ng
106.7091029	2	53354.5514	go	go
107.1651052	2	53582.5526	cor	cor
107.8091069	2	53904.5535	ng	ng
108.8421028	2	54421.0514	go	go
109.1491017	2	54574.5508	cor	cor
109.9251083	2	54962.5542	go	go
110.2691016	2	55134.5508	cor	cor
111.0421009	2	55521.0504	go	go
111.3331071	2	55666.5536	cor	cor
111.9091048	2	55954.5524	ng	ng
113.0251016	2	56512.5508	go	go
113.4451053	2	56722.5527	cor	cor
114.0251062	2	57012.5531	ng	ng
115.2751095	2	57637.5548	go	go
115.701108	2	57850.554	cor	cor
116.4251033	2	58212.5516	go	go
116.7491108	2	58374.5554	cor	cor
117.692105	2	58846.0525	go	go
118.0931087	2	59046.5543	cor	cor
118.9091071	2	59454.5535	go	go
119.2851059	2	59642.5529	cor	cor
119.8591019	2	59929.551	ng	ng
120.8251096	2	60412.5548	go	go
121.1011089	2	60550.5544	cor	cor
121.8081056	2	60904.0528	go	go
122.0691081	2	61034.554	cor	cor
122.8751085	2	61437.5543	go	go
123.1011081	2	61550.554	cor	cor
123.7751036	2	61887.5518	ng	ng
124.8921062	2	62446.0531	go	go
125.1251064	2	62562.5532	cor	cor
125.9081035	2	62954.0518	go	go
126.1331073	2	63066.5537	cor	cor
126.9081082	2	63454.0541	go	go
128.0081022	2	64004.0511	go	go
128.9421044	2	64471.0522	ng	ng
130.0081014	2	65004.0507	ng	ng
131.2251035	2	65612.5517	ng	ng
131.4691074	2	65734.5537	err	err
132.2581093	2	66129.0547	go	go
132.5811009	2	66290.5505	cor	cor
133.4251016	2	66712.5508	go	go
133.9251089	2	66962.5545	cor	cor
134.5251057	2	67262.5528	go	go
134.9651053	2	67482.5526	cor	cor
135.4081023	2	67704.0511	go	go
135.8611073	2	67930.5536	cor	cor
136.6581056	2	68329.0528	go	go
136.9331091	2	68466.5546	cor	cor
137.8251079	2	68912.5539	go	go
138.1571017	2	69078.5508	cor	cor
139.0751011	2	69537.5506	go	go
139.3411025	2	69670.5512	cor	cor
140.0581072	2	70029.0536	go	go
140.3971016	2	70198.5508	cor	cor
141.0921089	2	70546.0544	go	go
141.4051026	2	70702.5513	cor	cor
142.1081062	2	71054.0531	go	go
142.4531053	2	71226.5527	cor	cor
143.1581105	2	71579.0553	go	go
143.4931017	2	71746.5508	cor	cor
144.2921016	2	72146.0508	go	go
144.6131016	2	72306.5508	cor	cor
145.5421049	2	72771.0524	go	go
145.8691097	2	72934.5549	cor	cor
146.7081013	2	73354.0507	ng	ng
147.9411061	2	73970.5531	go	go
148.1971096	2	74098.5548	cor	cor
164.0911091	2	82045.5545	go	go
164.5961053	2	82298.0527	cor	cor
165.1241049	2	82562.0524	go	go
165.4121037	2	82706.0518	cor	cor
166.3411069	2	83170.5535	go	go
166.5811076	2	83290.5538	cor	cor
167.3741027	2	83687.0514	go	go
167.6441073	2	83822.0536	cor	cor
168.2581052	2	84129.0526	go	go
168.5491014	2	84274.5507	cor	cor
169.3411108	2	84670.5554	go	go
170.3081041	2	85154.052	go	go
170.5261073	2	85263.0537	cor	cor
171.1911007	2	85595.5504	go	go
171.4521031	2	85726.0516	cor	cor
172.2581036	2	86129.0518	ng	ng
173.1741014	2	86587.0507	ng	ng
174.2241058	2	87112.0529	go	go
174.5321106	2	87266.0553	cor	cor
175.2911087	2	87645.5543	go	go
175.6041023	2	87802.0512	cor	cor
176.3581015	2	88179.0507	go	go
176.6441088	2	88322.0544	cor	cor
177.524108	2	88762.054	go	go
177.7881078	2	88894.0539	cor	cor
178.6911103	2	89345.5552	go	go
178.9241105	2	89462.0552	cor	cor
179.7411046	2	89870.5523	go	go
180.0041086	2	90002.0543	cor	cor
180.8411087	2	90420.5544	go	go
181.0611035	2	90530.5518	cor	cor
181.8241048	2	90912.0524	go	go
182.9571101	2	91478.5551	go	go
183.2041013	2	91602.0507	cor	cor
