onset	duration	sample	trial_type
1.354	0.494	677	boundary
6.632589565	2	3316.2948	inc
7.135584222	2	3567.7921	cor
7.598587142	2	3799.2936	inc
8.031586202	2	4015.7931	cor
8.615580218	2	4307.7901	inc
9.023584442	2	4511.7922	cor
9.498586895	2	4749.2934	inc
9.903583692	2	4951.7918	cor
10.43258907	2	5216.2945	con
10.80758201	2	5403.791	cor
11.46558488	2	5732.7924	inc
11.87958384	2	5939.7919	cor
12.64858993	2	6324.295	inc
13.07958739	2	6539.7937	cor
13.86558192	2	6932.791	inc
14.30258417	2	7151.2921	cor
14.83158955	2	7415.7948	con
15.24758005	2	7623.79	cor
15.73158467	2	7865.7923	inc
16.15958476	2	8079.7924	cor
16.96558522	2	8482.7926	con
17.28758106	2	8643.7905	cor
18.08158198	2	9040.791	inc
18.5505897	2	9275.2948	cor
19.11558362	2	9557.7918	con
19.51058248	2	9755.2912	cor
20.09858975	2	10049.2949	inc
20.49458438	2	10247.2922	cor
21.01558337	2	10507.7917	inc
21.38259003	2	10691.295	cor
21.88158149	2	10940.7907	con
22.27058561	2	11135.2928	cor
23.03158531	2	11515.7927	con
23.35858011	2	11679.2901	cor
24.18158913	2	12090.7946	con
24.48658647	2	12243.2932	cor
25.39858112	2	12699.2906	inc
25.84658714	2	12923.2936	cor
26.46558398	2	13232.792	inc
26.86258444	2	13431.2922	cor
27.43158156	2	13715.7908	con
27.77458915	2	13887.2946	cor
28.61558238	2	14307.7912	con
28.93458085	2	14467.2904	cor
29.63158974	2	14815.7949	con
30.04658447	2	15023.2922	cor
30.84858173	2	15424.2909	con
31.14258537	2	15571.2927	cor
31.99858555	2	15999.2928	inc
32.33458252	2	16167.2913	cor
33.09858965	2	16549.2948	inc
33.48658794	2	16743.294	cor
34.08158572	2	17040.7929	inc
34.49458891	2	17247.2945	cor
34.9985894	2	17499.2947	inc
35.35858543	2	17679.2927	cor
36.13158466	2	18065.7923	con
36.47058906	2	18235.2945	cor
36.99858861	2	18499.2943	con
37.31058651	2	18655.2933	cor
37.91558223	2	18957.7911	con
38.29458842	2	19147.2942	cor
38.8155874	2	19407.7937	inc
39.15858494	2	19579.2925	cor
40.01558089	2	20007.7904	inc
40.35058209	2	20175.291	err
40.9485873	2	20474.2937	con
41.31058493	2	20655.2925	cor
41.96558038	2	20982.7902	inc
42.31058957	2	21155.2948	cor
43.18158665	2	21590.7933	con
43.51858945	2	21759.2947	cor
44.36558747	2	22182.7937	inc
44.63858941	2	22319.2947	err
45.53158397	2	22765.792	inc
45.99859008	2	22999.295	cor
46.68158779	2	23340.7939	con
47.06258552	2	23531.2928	cor
47.74858059	2	23874.2903	con
48.08658922	2	24043.2946	cor
48.98158537	2	24490.7927	inc
49.41458443	2	24707.2922	cor
50.03158973	2	25015.7949	inc
50.44658446	2	25223.2922	cor
51.198582	2	25599.291	con
51.51058996	2	25755.295	cor
52.33158732	2	26165.7937	con
52.63858625	2	26319.2931	cor
53.28158216	2	26640.7911	inc
53.69458535	2	26847.2927	cor
54.48158571	2	27240.7929	con
54.78258991	2	27391.295	cor
55.69858776	2	27849.2939	con
56.03858793	2	28019.294	cor
56.59858288	2	28299.2914	inc
57.14258516	2	28571.2926	cor
57.81458916	2	28907.2946	inc
58.22258333	2	29111.2917	cor
58.84858073	2	29424.2904	con
59.38258508	2	29691.2925	cor
60.06458701	2	30032.2935	con
60.40658878	2	30203.2944	cor
61.04858892	2	30524.2945	con
61.43058242	2	30715.2912	cor
62.19858268	2	31099.2913	inc
62.55858877	2	31279.2944	cor
63.16458026	2	31582.2901	con
63.56658974	2	31783.2949	cor
64.38158231	2	32190.7912	con
64.70258238	2	32351.2912	cor
65.33158721	2	32665.7936	con
65.65458888	2	32827.2944	cor
66.21458383	2	33107.2919	con
66.56658353	2	33283.2918	cor
67.29858519	2	33649.2926	inc
67.70258622	2	33851.2931	cor
68.34858956	2	34174.2948	con
68.7025808	2	34351.2904	cor
69.56458578	2	34782.2929	inc
69.96658521	2	34983.2926	cor
87.93158533	2	43965.7927	con
88.54258584	2	44271.2929	cor
